"rank", "team", "year2"
1, "Alabama ", "2014"
2, "LSU ", "2014"
3, "Ohio State ", "2014"
4, "Florida State ", "2014"
5, "Texas A&M ", "2014"
6, "Auburn ", "2014"
7, "Tennessee ", "2014"
8, "Georgia ", "2014"
9, "Florida ", "2014"
10, "USC ", "2014"
11, "Notre Dame ", "2014"
12, "Miami ", "2014"
13, "Stanford ", "2014"
14, "Oklahoma ", "2014"
15, "Ole Miss ", "2014"
16, "Clemson ", "2014"
17, "Texas ", "2014"
18, "UCLA ", "2014"
19, "South Carolina ", "2014"
20, "Michigan ", "2014"
21, "Oregon ", "2014"
22, "Kentucky ", "2014"
23, "Arizona State ", "2014"
24, "Penn State ", "2014"
25, "Baylor ", "2014"
26, "Michigan State ", "2014"
27, "Oklahoma State ", "2014"
28, "Virginia Tech ", "2014"
29, "Arkansas ", "2014"
30, "North Carolina ", "2014"
31, "Arizona ", "2014"
32, "Wisconsin ", "2014"
33, "Virginia ", "2014"
34, "NC State ", "2014"
35, "Nebraska ", "2014"
36, "Mississippi State ", "2014"
37, "Missouri ", "2014"
38, "Washington ", "2014"
39, "West Virginia ", "2014"
40, "Texas Tech ", "2014"
41, "Maryland ", "2014"
42, "USF ", "2014"
43, "TCU ", "2014"
44, "Pittsburgh ", "2014"
45, "Louisville ", "2014"
46, "Vanderbilt ", "2014"
47, "Northwestern ", "2014"
48, "Indiana ", "2014"
49, "Kansas State ", "2014"
50, "Kansas ", "2014"
