"rank2019", "team"
1, "Alabama "
2, "Georgia "
3, "Texas "
4, "Texas A&M "
5, "LSU "
6, "Oklahoma "
7, "Oregon "
8, "Michigan "
9, "Florida "
10, "Clemson "
11, "Auburn "
12, "Penn State "
13, "Tennessee "
14, "Ohio State "
15, "Washington "
16, "Notre Dame "
17, "Nebraska "
18, "Florida State "
19, "USC "
20, "Stanford "
21, "South Carolina "
22, "Ole Miss "
23, "Arkansas "
24, "Mississippi State "
25, "Purdue "
26, "Virginia Tech "
27, "Miami "
28, "Arizona State "
29, "Wisconsin "
30, "North Carolina "
31, "TCU "
32, "NC State "
33, "Michigan State "
34, "Kentucky "
35, "Baylor "
36, "Indiana "
37, "Missouri "
38, "Oklahoma State "
39, "Virginia "
40, "UCLA "
41, "Iowa "
42, "Utah "
43, "California "
44, "Colorado "
45, "Minnesota "
46, "Iowa State "
47, "Maryland "
48, "West Virginia "
49, "Duke "
50, "Georgia Tech "
