"teams.X1" "teams.X5"
"Air Force" "4,237"
"Akron" "19,200"
"Alabama" "38,500"
"Appalachian State" "19,100"
"Arizona" "45,200"
"Arizona State" "51,800"
"Arkansas" "27,800"
"Arkansas State" "22,000"
"Army" "4,300"
"Auburn" "30,400"
"Ball State" "22,500"
"Baylor" "17,200"
"Boise State" "25,500"
"Boston College" "14,700"
"Bowling Green" "23,000"
"Buffalo" "31,500"
"BYU" "33,600"
"California" "42,500"
"Central Michigan" "21,700"
"Charlotte" "29,700"
"Cincinnati" "46,000"
"Clemson" "25,000"
"Coastal Carolina" "10,600"
"Colorado" "33,200"
"Colorado State" "33,800"
"Duke" "15,900"
"East Carolina" "29,100"
"Eastern Michigan" "20,300"
"FIU" "56,800"
"Florida" "56,100"
"Florida Atlantic" "30,800"
"Florida State" "41,900"
"Fresno State" "25,000"
"Georgia" "38,200"
"Georgia Southern" "26,400"
"Georgia State" "52,800"
"Georgia Tech" "32,700"
"Hawaii" "17,700"
"Houston" "42,700"
"Illinois" "51,200"
"Indiana" "43,700"
"Iowa" "33,000"
"Iowa State" "33,400"
"Kansas" "27,700"
"Kansas State" "21,700"
"Kent State" "39,300"
"Kentucky" "29,200"
"Liberty" "15,000"
"Louisiana" "19,200"
"Louisiana–Monroe" "8,800"
"Louisiana Tech" "12,400"
"Louisville" "22,600"
"LSU" "30,800"
"Marshall" "13,200"
"Maryland" "41,200"
"Memphis" "21,500"
"Miami (FL)" "17,300"
"Miami (OH)" "24,300"
"Michigan" "46,000"
"Michigan State" "50,300"
"Middle Tennessee" "21,900"
"Minnesota" "47,800"
"Mississippi State" "22,200"
"Missouri" "30,000"
"Navy" "4,600"
"NC State" "35,500"
"Nebraska" "25,800"
"Nevada" "21,600"
"New Mexico" "26,300"
"New Mexico State" "21,900"
"North Carolina" "29,800"
"North Texas" "39,400"
"Northern Illinois" "20,000"
"Northwestern" "21,200"
"Notre Dame" "12,300"
"Ohio" "34,900"
"Ohio State" "68,100"
"Oklahoma" "28,500"
"Oklahoma State" "25,300"
"Old Dominion" "25,000"
"Ole Miss" "23,200"
"Oregon" "22,700"
"Oregon State" "30,900"
"Penn State" "46,600"
"Pittsburgh" "28,600"
"Purdue" "43,400"
"Rice" "7,100"
"Rutgers" "70,900"
"San Diego State" "34,900"
"San Jose State" "32,800"
"SMU" "11,800"
"South Alabama" "15,100"
"South Carolina" "50,100"
"South Florida" "50,700"
"Southern Miss" "14,500"
"Stanford" "16,500"
"Syracuse" "22,900"
"TCU" "10,400"
"Temple" "40,000"
"Tennessee" "28,900"
"Texas" "51,800"
"Texas A&M" "69,400"
"Texas State" "38,800"
"Texas Tech" "38,200"
"Toledo" "23,100"
"Troy" "18,100"
"Tulane" "14,100"
"Tulsa" "4,300"
"UAB" "21,900"
"UCF" "68,600"
"UCLA" "45,400"
"UConn" "32,200"
"UMass" "30,600"
"UNLV" "30,500"
"USC" "45,700"
"UTEP" "25,100"
"UTSA" "30,700"
"Utah" "33,000"
"Utah State" "29,400"
"Vanderbilt" "13,100"
"Virginia" "24,400"
"Virginia Tech" "33,400"
"Wake Forest" "8,100"
"Washington" "47,900"
"Washington State" "30,600"
"West Virginia" "30,000"
"Western Kentucky" "20,300"
"Western Michigan" "22,900"
"Wisconsin" "44,400"
"Wyoming" "12,400"
